"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41"
"2038","dog","cat","mouse","duck","donkey","horse","goose","lion","zebra","giraffe","tiger","monkey","hippopotamus","flamingo","sheep","lamb","goat","cow","buffalo","bear","armadillo","panda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2039","panda","koala","kangaroo","opossum","porcupine","mouse","cat","dog","horse","cow","parrot","eagle","elephant","tiger","lion","jaguar","bear","rattlesnake","rat","lemur","chimpanzee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2040","antelope","cat","dog","elephant","zebra","giraffe","bear","fox","hyena","coyote","leopard","lion","panther","bobcat","puma","sheep","cow","goat","chicken","sparrow","ostrich","raven","fish","shark","whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2041","zebra","elephant","giraffe","anteater","cat","dog","parrot","hummingbird","beetle","butterfly","fruit fly","monkey","lion","tiger","bear","skunk","ostrich","horse","cow","lamb","pig","donkey","crow","eagle","dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3001","monkey","gorilla","zebra","lion","tiger","jaguar","coyote","cougar","wolf","hyena","rhinoceros","elephant","alligator","crocodile","bird","snake","hippopotamus","fish","whale","shark","cat","dog","hamster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3002","cat","dog","mouse","snake","ostrich","elephant","rhinoceros","porcupine","skunk","dolphin","llama","camel","whale","zebra","finch","parrot","eagle","parakeet","hawk","gorilla","orangutan","chimpanzee","blue jay","pigeon","marmoset","lemur","trout","sea bass","hamster","rat","worm","butterfly","penguin","salamander","walrus","polar bear","lobster","slug","snail",NA,NA
"3003","dog","cat","gerbil","hamster","fish","dolphin","snake","shark","seahorse","seal","octopus","squid","osprey","flamingo","hawk","eagle","seagull","tyrannosaurus rex","otter","aardvark","pig","cow","horse","goat","sheep","llama","impala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3004","cow","bear","bird","dog","cat","zebra","giraffe","elephant","lion","tiger","panda","koala","hippopotamus","wolf","rabbit","deer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3005","zebra","lion","giraffe","hippopotamus","beetle","dog","cat","bear","lemur","kangaroo","opossum","raccoon","armadillo","mole","mouse","rat","rabbit","ostrich","chicken","llama","elk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3006","aardvark","antelope","bat","cat","ibex","frog","cow","dog","wolf","bear","sheep","gorilla","lion","camel","llama","alpaca","goat","snake","lizard","alligator","crocodile","shark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3007","cat","dog","bird","lion","tiger","bear","horse","ox","mule","donkey","panther","snake","rabbit","rat","mouse","gecko","lizard","blue whale","dolphin","fish","spider","snail","sea snail","monkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3008","bear","dog","cat","wallaby","kangaroo","camel","dromedary","goldfish","swordfish","shark","whale","manatee","narwhal","lory","badger","hyena","giraffe","zebra","hippopotamus","rhinoceros","mole","weasel","ferret","stoat","skunk","axolotl","salamander","snake","sloth","worm","tapeworm","tyrannosaurus rex","brontosaurus","apatosaurus","pterodactyl","pteranodon",NA,NA,NA,NA,NA
"3009","dog","cat","gorilla","bird","parrot","anteater","giraffe","ape","orangutan","rabbit","hare","frog","toad","cockroach","spider","cockatoo","parakeet","cocker spaniel","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3010","human","fox","cat","dog","bear","horse","cow","wolf","goat","chinchilla","porcupine","raccoon","squirrel","orca","llama","alpaca","duck","chicken","goose","owl","raven","crow","pigeon","dolphin","seal","walrus","ant","cockroach","spider","mouse","rat","rabbit","hare","toad","frog",NA,NA,NA,NA,NA,NA
"3012","anteater","armadillo","aardvark","buffalo","bear","cat","dog","whale","salmon","cougar","emu","trout","eagle","hawk","sparrow","fox","wolf","coyote","jackal","shark","tiger","lion","lizard","spider","raven","crow","newt","crawfish","lobster","crab","turtle","frog","alligator","crocodile","clam","sea urchin","seal","dolphin","jellyfish","seahorse","sea bass"
"3013","dog","cat","hamster","rat","rabbit","duck","goose","elephant","zebra","giraffe","cheetah","leopard","panther","tiger","lion","antelope","hippopotamus","rhinoceros","alligator","crocodile","penguin","heron","whale","dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3014","zebra","antelope","unicorn","lion","tiger","rat","dog","sheep","cow","hummingbird","fish","dolphin","whale","crab","spider","ant","worm","snake","owl","bee","butterfly","bear","wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3016","ape","antelope","zebra","baboon","goat","dog","cat","elephant","snake","crocodile","alligator","lynx","leopard","lion","sheep","mountain goat","whale","dolphin","blue shark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3017","dog","cat","giraffe","panda","parakeet","caterpillar","ant","octopus","seal","hippopotamus","sea urchin","fish","zebra","donkey","jellyfish","starfish","koala","lion","tiger","leopard","panther","worm","centipede","polar bear","bear","fawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3018","cat","dog","horse","elephant","lion","monkey","snake","lizard","zebra","panda","cardinal","robin","crow","blue jay","sparrow","towhee","wren","hummingbird","woodpecker","ant","wasp","bee","frog","beetle","turtle","toad","aardvark","ostrich","kangaroo","koala","lemur","chimpanzee","orangutan","gorilla",NA,NA,NA,NA,NA,NA,NA
"3019","dog","cat","mouse","squirrel","elephant","whale","dolphin","shark","salmon","condor","eagle","parrot","crocodile","wolf","bear","sheep","rabbit","pig","cow","bull","kangaroo","scorpion","fly","bee","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3020","panda","bear","wolf","coyote","aardvark","insect","fish","hawk","eagle","horse","zebra","shark","whale","dolphin","mouse","rat","cat","parrot","parakeet","fly","spider","salamander","koala","kangaroo","rabbit","penguin","elephant","giraffe","lion","cheetah","tiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3021","antelope","zebra","cougar","tiger","lion","cat","orangutan","monkey","gorilla","elephant","cheetah","dog","bear","sasquatch","snake","koala","kangaroo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3022","cat","dog","snail","snake","aardvark","orangutan","chimpanzee","zebra","wildebeest","water buffalo","buffalo","lobster","mink","wolf","coyote","bear","moose","fish","quail","dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3023","cat","dog","bird","tiger","wolf","fox","wolverine","eagle","hawk","parrot","whale","dolphin","ape","monkey","malamute","chimpanzee","cow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3025","hedgehog","seagull","bull","gerbil","hamster","rabbit","fox","hippopotamus","elephant","rhinoceros","sloth","snow leopard","lion","tiger","panther","fennec fox","albatross","anteater","marmoset","gazelle","sheep","cat","dog","eagle","condor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3026","owl","snake","ant","aardvark","monkey","gorilla","ape","elephant","tiger","lion","leopard","seagull","sparrow","cardinal","duck","goose","cow","bull","chicken","rooster","dog","cat","mouse","dolphin","shark","whale","seal","turtle","alligator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3027","cat","dog","fox","tiger","bear","ant","spider","snake","jaguar","lion","cow","sheep","sparrow","crow","leopard","hyena","eagle","vulture","fish","octopus","seahorse","seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3028","armadillo","ant","sloth","elephant","lizard","salamander","cat","frog","fish","whale","seal","owl","eagle","swallow","rabbit","tiger","sheep","goat","llama","horse","mule","kangaroo","dog","wolf","buffalo","elk","caribou","moose","camel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3029","ape","donkey","horse","cheetah","cat","lion","tiger","panther","dog","wolf","bat","bird","pigeon","canary","parrot","cockatoo","turkey","sparrow","seagull","bee","wasp","snake","lizard","bear","cougar","grizzly bear","black bear","spider","fly","mosquito","jackal","hamster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031","koala","chinch bug","earthworm","snake","robin","blue jay","elephant","giraffe","zebra","fox","emu","ostrich","buffalo","pig","cow","bull","dog","cat","ferret","mole","gila monster","alligator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
